Characteristics.Subject.ID.	Characteristics.Strain.	Factor.Value.Compound.	Comment.chEMBL.ID.	Characteristics.Compound.Class.	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Characteristics.Vehicle.	array_file	control_file	final_array_name
cyclosporine A_1.2_2h_2	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_2h_2	1.2	micromolar	NA	tg_gates_003017361016.CEL		
cyclosporine A_6_2h_1	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_2h_1	6	micromolar	NA	tg_gates_003017361017.CEL		
cyclosporine A_6_2h_2	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_2h_2	6	micromolar	NA	tg_gates_003017361018.CEL		
cyclosporine A_0_8h_1	not specified	cyclosporin a	CHEMBL160	NA	TRUE		0	micromolar	NA	tg_gates_003017361019.CEL		
cyclosporine A_0_8h_2	not specified	cyclosporin a	CHEMBL160	NA	TRUE		0	micromolar	NA	tg_gates_003017361020.CEL		
cyclosporine A_0.24_8h_1	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_8h_1	0.24	micromolar	NA	tg_gates_003017361021.CEL		
cyclosporine A_0.24_8h_2	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_8h_2	0.24	micromolar	NA	tg_gates_003017361022.CEL		
cyclosporine A_1.2_8h_1	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_8h_1	1.2	micromolar	NA	tg_gates_003017361023.CEL		
cyclosporine A_1.2_8h_2	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_8h_2	1.2	micromolar	NA	tg_gates_003017361024.CEL		
cyclosporine A_6_8h_1	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_8h_1	6	micromolar	NA	tg_gates_003017361025.CEL		
cyclosporine A_6_8h_2	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_8h_2	6	micromolar	NA	tg_gates_003017361026.CEL		
cyclosporine A_0_24h_1	not specified	cyclosporin a	CHEMBL160	NA	TRUE		0	micromolar	NA	tg_gates_003017361027.CEL		
cyclosporine A_0_24h_2	not specified	cyclosporin a	CHEMBL160	NA	TRUE		0	micromolar	NA	tg_gates_003017361028.CEL		
cyclosporine A_0.24_24h_1	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_24h_1	0.24	micromolar	NA	tg_gates_003017361029.CEL		
cyclosporine A_0.24_24h_2	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_24h_2	0.24	micromolar	NA	tg_gates_003017361030.CEL		
cyclosporine A_1.2_24h_1	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_24h_1	1.2	micromolar	NA	tg_gates_003017362001.CEL		
cyclosporine A_1.2_24h_2	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_24h_2	1.2	micromolar	NA	tg_gates_003017362002.CEL		
cyclosporine A_6_24h_1	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_24h_1	6	micromolar	NA	tg_gates_003017362003.CEL		
cyclosporine A_6_24h_2	not specified	cyclosporin a	CHEMBL160	NA	FALSE	cyclosporine A_0_24h_2	6	micromolar	NA	tg_gates_003017362004.CEL		
acetamidofluorene_0_2h_1	not specified	acetamidofluorene	CHEMBL311469	NA	TRUE		0	micromolar	NA	tg_gates_003017362005.CEL		
acetamidofluorene_0_2h_2	not specified	acetamidofluorene	CHEMBL311469	NA	TRUE		0	micromolar	NA	tg_gates_003017362006.CEL		
acetamidofluorene_2_2h_1	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_2h_1	2	micromolar	NA	tg_gates_003017362007.CEL		
acetamidofluorene_2_2h_2	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_2h_2	2	micromolar	NA	tg_gates_003017362008.CEL		
acetamidofluorene_10_2h_1	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_2h_1	10	micromolar	NA	tg_gates_003017362009.CEL		
acetamidofluorene_10_2h_2	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_2h_2	10	micromolar	NA	tg_gates_003017362010.CEL		
acetamidofluorene_50_2h_1	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_2h_1	50	micromolar	NA	tg_gates_003017362011.CEL		
acetamidofluorene_50_2h_2	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_2h_2	50	micromolar	NA	tg_gates_003017362012.CEL		
acetamidofluorene_0_8h_1	not specified	acetamidofluorene	CHEMBL311469	NA	TRUE		0	micromolar	NA	tg_gates_003017362013.CEL		
acetamidofluorene_0_8h_2	not specified	acetamidofluorene	CHEMBL311469	NA	TRUE		0	micromolar	NA	tg_gates_003017362014.CEL		
acetamidofluorene_2_8h_1	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_8h_1	2	micromolar	NA	tg_gates_003017362015.CEL		
acetamidofluorene_2_8h_2	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_8h_2	2	micromolar	NA	tg_gates_003017362016.CEL		
acetamidofluorene_10_8h_1	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_8h_1	10	micromolar	NA	tg_gates_003017362017.CEL		
acetamidofluorene_10_8h_2	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_8h_2	10	micromolar	NA	tg_gates_003017362018.CEL		
acetamidofluorene_50_8h_1	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_8h_1	50	micromolar	NA	tg_gates_003017362019.CEL		
acetamidofluorene_50_8h_2	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_8h_2	50	micromolar	NA	tg_gates_003017362020.CEL		
acetamidofluorene_0_24h_1	not specified	acetamidofluorene	CHEMBL311469	NA	TRUE		0	micromolar	NA	tg_gates_003017362021.CEL		
acetamidofluorene_0_24h_2	not specified	acetamidofluorene	CHEMBL311469	NA	TRUE		0	micromolar	NA	tg_gates_003017362022.CEL		
acetamidofluorene_2_24h_1	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_24h_1	2	micromolar	NA	tg_gates_003017362023.CEL		
acetamidofluorene_2_24h_2	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_24h_2	2	micromolar	NA	tg_gates_003017362024.CEL		
acetamidofluorene_10_24h_1	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_24h_1	10	micromolar	NA	tg_gates_003017362025.CEL		
acetamidofluorene_10_24h_2	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_24h_2	10	micromolar	NA	tg_gates_003017362026.CEL		
acetamidofluorene_50_24h_1	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_24h_1	50	micromolar	NA	tg_gates_003017362027.CEL		
acetamidofluorene_50_24h_2	not specified	acetamidofluorene	CHEMBL311469	NA	FALSE	acetamidofluorene_0_24h_2	50	micromolar	NA	tg_gates_003017362028.CEL		
benziodarone_0_2h_1	not specified	benziodarone	CHEMBL232201	NA	TRUE		0	micromolar	NA	tg_gates_003017365012.CEL		
benziodarone_0_2h_2	not specified	benziodarone	CHEMBL232201	NA	TRUE		0	micromolar	NA	tg_gates_003017365013.CEL		
benziodarone_1_2h_1	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_2h_1	1	micromolar	NA	tg_gates_003017365014.CEL		
benziodarone_1_2h_2	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_2h_2	1	micromolar	NA	tg_gates_003017365015.CEL		
benziodarone_5_2h_1	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_2h_1	5	micromolar	NA	tg_gates_003017365016.CEL		
benziodarone_5_2h_2	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_2h_2	5	micromolar	NA	tg_gates_003017365017.CEL		
benziodarone_25_2h_1	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_2h_1	25	micromolar	NA	tg_gates_003017365018.CEL		
benziodarone_25_2h_2	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_2h_2	25	micromolar	NA	tg_gates_003017365019.CEL		
benziodarone_0_8h_1	not specified	benziodarone	CHEMBL232201	NA	TRUE		0	micromolar	NA	tg_gates_003017365020.CEL		
benziodarone_0_8h_2	not specified	benziodarone	CHEMBL232201	NA	TRUE		0	micromolar	NA	tg_gates_003017365021.CEL		
benziodarone_1_8h_1	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_8h_1	1	micromolar	NA	tg_gates_003017365022.CEL		
benziodarone_1_8h_2	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_8h_2	1	micromolar	NA	tg_gates_003017365023.CEL		
benziodarone_5_8h_1	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_8h_1	5	micromolar	NA	tg_gates_003017365024.CEL		
benziodarone_5_8h_2	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_8h_2	5	micromolar	NA	tg_gates_003017365025.CEL		
benziodarone_25_8h_1	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_8h_1	25	micromolar	NA	tg_gates_003017365026.CEL		
benziodarone_25_8h_2	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_8h_2	25	micromolar	NA	tg_gates_003017365027.CEL		
benziodarone_0_24h_1	not specified	benziodarone	CHEMBL232201	NA	TRUE		0	micromolar	NA	tg_gates_003017365028.CEL		
benziodarone_0_24h_2	not specified	benziodarone	CHEMBL232201	NA	TRUE		0	micromolar	NA	tg_gates_003017365029.CEL		
benziodarone_1_24h_1	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_24h_1	1	micromolar	NA	tg_gates_003017365030.CEL		
benziodarone_1_24h_2	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_24h_2	1	micromolar	NA	tg_gates_003017366001.CEL		
benziodarone_5_24h_1	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_24h_1	5	micromolar	NA	tg_gates_003017366002.CEL		
benziodarone_5_24h_2	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_24h_2	5	micromolar	NA	tg_gates_003017366003.CEL		
benziodarone_25_24h_1	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_24h_1	25	micromolar	NA	tg_gates_003017366004.CEL		
benziodarone_25_24h_2	not specified	benziodarone	CHEMBL232201	NA	FALSE	benziodarone_0_24h_2	25	micromolar	NA	tg_gates_003017366005.CEL		
etoposide_0_2h_1	not specified	etoposide	CHEMBL44657	NA	TRUE		0	micromolar	NA	tg_gates_003017366030.CEL		
etoposide_0_2h_2	not specified	etoposide	CHEMBL44657	NA	TRUE		0	micromolar	NA	tg_gates_003017367001.CEL		
etoposide_14_2h_1	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_2h_1	14	micromolar	NA	tg_gates_003017367002.CEL		
etoposide_14_2h_2	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_2h_2	14	micromolar	NA	tg_gates_003017367003.CEL		
etoposide_70_2h_1	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_2h_1	70	micromolar	NA	tg_gates_003017367004.CEL		
etoposide_70_2h_2	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_2h_2	70	micromolar	NA	tg_gates_003017367005.CEL		
etoposide_350_2h_1	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_2h_1	350	micromolar	NA	tg_gates_003017367006.CEL		
etoposide_350_2h_2	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_2h_2	350	micromolar	NA	tg_gates_003017367007.CEL		
etoposide_0_8h_1	not specified	etoposide	CHEMBL44657	NA	TRUE		0	micromolar	NA	tg_gates_003017367008.CEL		
etoposide_0_8h_2	not specified	etoposide	CHEMBL44657	NA	TRUE		0	micromolar	NA	tg_gates_003017367009.CEL		
etoposide_14_8h_1	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_8h_1	14	micromolar	NA	tg_gates_003017367010.CEL		
etoposide_14_8h_2	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_8h_2	14	micromolar	NA	tg_gates_003017367011.CEL		
etoposide_70_8h_1	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_8h_1	70	micromolar	NA	tg_gates_003017367012.CEL		
etoposide_70_8h_2	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_8h_2	70	micromolar	NA	tg_gates_003017367013.CEL		
etoposide_350_8h_1	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_8h_1	350	micromolar	NA	tg_gates_003017367014.CEL		
etoposide_350_8h_2	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_8h_2	350	micromolar	NA	tg_gates_003017367015.CEL		
etoposide_0_24h_1	not specified	etoposide	CHEMBL44657	NA	TRUE		0	micromolar	NA	tg_gates_003017367016.CEL		
etoposide_0_24h_2	not specified	etoposide	CHEMBL44657	NA	TRUE		0	micromolar	NA	tg_gates_003017367017.CEL		
etoposide_14_24h_1	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_24h_1	14	micromolar	NA	tg_gates_003017367018.CEL		
etoposide_14_24h_2	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_24h_2	14	micromolar	NA	tg_gates_003017367019.CEL		
etoposide_70_24h_1	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_24h_1	70	micromolar	NA	tg_gates_003017367020.CEL		
etoposide_70_24h_2	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_24h_2	70	micromolar	NA	tg_gates_003017367021.CEL		
etoposide_350_24h_1	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_24h_1	350	micromolar	NA	tg_gates_003017367022.CEL		
etoposide_350_24h_2	not specified	etoposide	CHEMBL44657	NA	FALSE	etoposide_0_24h_2	350	micromolar	NA	tg_gates_003017367023.CEL		
carboplatin_0_2h_1	not specified	carboplatin	CHEMBL1351	NA	TRUE		0	micromolar	NA	tg_gates_003017367024.CEL		
carboplatin_0_2h_2	not specified	carboplatin	CHEMBL1351	NA	TRUE		0	micromolar	NA	tg_gates_003017367025.CEL		
carboplatin_120_2h_1	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_2h_1	120	micromolar	NA	tg_gates_003017367026.CEL		
carboplatin_120_2h_2	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_2h_2	120	micromolar	NA	tg_gates_003017367027.CEL		
carboplatin_600_2h_1	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_2h_1	600	micromolar	NA	tg_gates_003017367028.CEL		
carboplatin_600_2h_2	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_2h_2	600	micromolar	NA	tg_gates_003017367029.CEL		
carboplatin_3000_2h_1	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_2h_1	3000	micromolar	NA	tg_gates_003017367030.CEL		
carboplatin_3000_2h_2	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_2h_2	3000	micromolar	NA	tg_gates_003017368001.CEL		
carboplatin_0_8h_1	not specified	carboplatin	CHEMBL1351	NA	TRUE		0	micromolar	NA	tg_gates_003017368002.CEL		
carboplatin_0_8h_2	not specified	carboplatin	CHEMBL1351	NA	TRUE		0	micromolar	NA	tg_gates_003017368003.CEL		
carboplatin_120_8h_1	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_8h_1	120	micromolar	NA	tg_gates_003017368004.CEL		
carboplatin_120_8h_2	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_8h_2	120	micromolar	NA	tg_gates_003017368005.CEL		
carboplatin_600_8h_1	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_8h_1	600	micromolar	NA	tg_gates_003017368006.CEL		
carboplatin_600_8h_2	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_8h_2	600	micromolar	NA	tg_gates_003017368007.CEL		
carboplatin_3000_8h_1	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_8h_1	3000	micromolar	NA	tg_gates_003017368008.CEL		
carboplatin_3000_8h_2	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_8h_2	3000	micromolar	NA	tg_gates_003017368009.CEL		
carboplatin_0_24h_1	not specified	carboplatin	CHEMBL1351	NA	TRUE		0	micromolar	NA	tg_gates_003017368010.CEL		
carboplatin_0_24h_2	not specified	carboplatin	CHEMBL1351	NA	TRUE		0	micromolar	NA	tg_gates_003017368011.CEL		
carboplatin_120_24h_1	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_24h_1	120	micromolar	NA	tg_gates_003017368012.CEL		
carboplatin_120_24h_2	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_24h_2	120	micromolar	NA	tg_gates_003017368013.CEL		
carboplatin_600_24h_1	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_24h_1	600	micromolar	NA	tg_gates_003017368014.CEL		
carboplatin_600_24h_2	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_24h_2	600	micromolar	NA	tg_gates_003017368015.CEL		
carboplatin_3000_24h_1	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_24h_1	3000	micromolar	NA	tg_gates_003017368016.CEL		
carboplatin_3000_24h_2	not specified	carboplatin	CHEMBL1351	NA	FALSE	carboplatin_0_24h_2	3000	micromolar	NA	tg_gates_003017368017.CEL		
galactosamine_0_2h_1	not specified	galactosamine	CHEMBL606759	NA	TRUE		0	micromolar	NA	tg_gates_003017368018.CEL		
galactosamine_0_2h_2	not specified	galactosamine	CHEMBL606759	NA	TRUE		0	micromolar	NA	tg_gates_003017370006.CEL		
galactosamine_400_2h_1	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_2h_1	400	micromolar	NA	tg_gates_003017370007.CEL		
galactosamine_400_2h_2	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_2h_2	400	micromolar	NA	tg_gates_003017370008.CEL		
galactosamine_2000_2h_1	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_2h_1	2000	micromolar	NA	tg_gates_003017370009.CEL		
galactosamine_2000_2h_2	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_2h_2	2000	micromolar	NA	tg_gates_003017370010.CEL		
galactosamine_10000_2h_1	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_2h_1	10000	micromolar	NA	tg_gates_003017370011.CEL		
galactosamine_10000_2h_2	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_2h_2	10000	micromolar	NA	tg_gates_003017370012.CEL		
galactosamine_0_8h_1	not specified	galactosamine	CHEMBL606759	NA	TRUE		0	micromolar	NA	tg_gates_003017370013.CEL		
galactosamine_0_8h_2	not specified	galactosamine	CHEMBL606759	NA	TRUE		0	micromolar	NA	tg_gates_003017370014.CEL		
galactosamine_400_8h_1	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_8h_1	400	micromolar	NA	tg_gates_003017370015.CEL		
galactosamine_400_8h_2	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_8h_2	400	micromolar	NA	tg_gates_003017370016.CEL		
galactosamine_2000_8h_1	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_8h_1	2000	micromolar	NA	tg_gates_003017370017.CEL		
galactosamine_2000_8h_2	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_8h_2	2000	micromolar	NA	tg_gates_003017370018.CEL		
galactosamine_10000_8h_1	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_8h_1	10000	micromolar	NA	tg_gates_003017370019.CEL		
galactosamine_10000_8h_2	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_8h_2	10000	micromolar	NA	tg_gates_003017370020.CEL		
galactosamine_0_24h_1	not specified	galactosamine	CHEMBL606759	NA	TRUE		0	micromolar	NA	tg_gates_003017370021.CEL		
galactosamine_0_24h_2	not specified	galactosamine	CHEMBL606759	NA	TRUE		0	micromolar	NA	tg_gates_003017370022.CEL		
galactosamine_400_24h_1	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_24h_1	400	micromolar	NA	tg_gates_003017370023.CEL		
galactosamine_400_24h_2	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_24h_2	400	micromolar	NA	tg_gates_003017370024.CEL		
galactosamine_2000_24h_1	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_24h_1	2000	micromolar	NA	tg_gates_003017370025.CEL		
galactosamine_2000_24h_2	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_24h_2	2000	micromolar	NA	tg_gates_003017370026.CEL		
galactosamine_10000_24h_1	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_24h_1	10000	micromolar	NA	tg_gates_003017370027.CEL		
galactosamine_10000_24h_2	not specified	galactosamine	CHEMBL606759	NA	FALSE	galactosamine_0_24h_2	10000	micromolar	NA	tg_gates_003017370028.CEL		
clomipramine_0_2h_1	not specified	clomipramine	CHEMBL415	NA	TRUE		0	micromolar	NA	tg_gates_003017372017.CEL		
clomipramine_0_2h_2	not specified	clomipramine	CHEMBL415	NA	TRUE		0	micromolar	NA	tg_gates_003017372018.CEL		
clomipramine_1.6_2h_1	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_2h_1	1.6	micromolar	NA	tg_gates_003017372019.CEL		
clomipramine_1.6_2h_2	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_2h_2	1.6	micromolar	NA	tg_gates_003017372020.CEL		
clomipramine_8_2h_1	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_2h_1	8	micromolar	NA	tg_gates_003017372021.CEL		
clomipramine_8_2h_2	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_2h_2	8	micromolar	NA	tg_gates_003017372022.CEL		
clomipramine_40_2h_1	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_2h_1	40	micromolar	NA	tg_gates_003017372023.CEL		
clomipramine_40_2h_2	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_2h_2	40	micromolar	NA	tg_gates_003017372024.CEL		
clomipramine_0_8h_1	not specified	clomipramine	CHEMBL415	NA	TRUE		0	micromolar	NA	tg_gates_003017372025.CEL		
clomipramine_0_8h_2	not specified	clomipramine	CHEMBL415	NA	TRUE		0	micromolar	NA	tg_gates_003017372026.CEL		
clomipramine_1.6_8h_1	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_8h_1	1.6	micromolar	NA	tg_gates_003017372027.CEL		
clomipramine_1.6_8h_2	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_8h_2	1.6	micromolar	NA	tg_gates_003017372028.CEL		
clomipramine_8_8h_1	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_8h_1	8	micromolar	NA	tg_gates_003017372029.CEL		
clomipramine_8_8h_2	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_8h_2	8	micromolar	NA	tg_gates_003017372030.CEL		
clomipramine_40_8h_1	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_8h_1	40	micromolar	NA	tg_gates_003017373001.CEL		
clomipramine_40_8h_2	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_8h_2	40	micromolar	NA	tg_gates_003017373002.CEL		
clomipramine_0_24h_1	not specified	clomipramine	CHEMBL415	NA	TRUE		0	micromolar	NA	tg_gates_003017373003.CEL		
clomipramine_0_24h_2	not specified	clomipramine	CHEMBL415	NA	TRUE		0	micromolar	NA	tg_gates_003017373004.CEL		
clomipramine_1.6_24h_1	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_24h_1	1.6	micromolar	NA	tg_gates_003017373005.CEL		
clomipramine_1.6_24h_2	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_24h_2	1.6	micromolar	NA	tg_gates_003017373006.CEL		
clomipramine_8_24h_1	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_24h_1	8	micromolar	NA	tg_gates_003017373007.CEL		
clomipramine_8_24h_2	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_24h_2	8	micromolar	NA	tg_gates_003017373008.CEL		
clomipramine_40_24h_1	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_24h_1	40	micromolar	NA	tg_gates_003017373009.CEL		
clomipramine_40_24h_2	not specified	clomipramine	CHEMBL415	NA	FALSE	clomipramine_0_24h_2	40	micromolar	NA	tg_gates_003017373010.CEL		
ticlopidine_0_2h_1	not specified	ticlopidine	CHEMBL833	NA	TRUE		0	micromolar	NA	tg_gates_003017373011.CEL		
ticlopidine_0_2h_2	not specified	ticlopidine	CHEMBL833	NA	TRUE		0	micromolar	NA	tg_gates_003017373012.CEL		
ticlopidine_2.4_2h_1	not specified	ticlopidine	CHEMBL833	NA	FALSE	ticlopidine_0_2h_1	2.4	micromolar	NA	tg_gates_003017373013.CEL		
ticlopidine_2.4_2h_2	not specified	ticlopidine	CHEMBL833	NA	FALSE	ticlopidine_0_2h_2	2.4	micromolar	NA	tg_gates_003017373014.CEL		
ticlopidine_12_2h_1	not specified	ticlopidine	CHEMBL833	NA	FALSE	ticlopidine_0_2h_1	12	micromolar	NA	tg_gates_003017373015.CEL		
ticlopidine_12_2h_2	not specified	ticlopidine	CHEMBL833	NA	FALSE	ticlopidine_0_2h_2	12	micromolar	NA	tg_gates_003017373016.CEL		
ticlopidine_60_2h_1	not specified	ticlopidine	CHEMBL833	NA	FALSE	ticlopidine_0_2h_1	60	micromolar	NA	tg_gates_003017373017.CEL		
ticlopidine_60_2h_2	not specified	ticlopidine	CHEMBL833	NA	FALSE	ticlopidine_0_2h_2	60	micromolar	NA	tg_gates_003017373018.CEL		
ticlopidine_0_8h_1	not specified	ticlopidine	CHEMBL833	NA	TRUE		0	micromolar	NA	tg_gates_003017373019.CEL		
ticlopidine_0_8h_2	not specified	ticlopidine	CHEMBL833	NA	TRUE		0	micromolar	NA	tg_gates_003017373020.CEL		
ticlopidine_2.4_8h_1	not specified	ticlopidine	CHEMBL833	NA	FALSE	ticlopidine_0_8h_1	2.4	micromolar	NA	tg_gates_003017373021.CEL		
ticlopidine_2.4_8h_2	not specified	ticlopidine	CHEMBL833	NA	FALSE	ticlopidine_0_8h_2	2.4	micromolar	NA	tg_gates_003017373022.CEL		
ticlopidine_12_8h_1	not specified	ticlopidine	CHEMBL833	NA	FALSE	ticlopidine_0_8h_1	12	micromolar	NA	tg_gates_003017373023.CEL		
ticlopidine_12_8h_2	not specified	ticlopidine	CHEMBL833	NA	FALSE	ticlopidine_0_8h_2	12	micromolar	NA	tg_gates_003017373024.CEL		
ticlopidine_60_8h_1	not specified	ticlopidine	CHEMBL833	NA	FALSE	ticlopidine_0_8h_1	60	micromolar	NA	tg_gates_003017373025.CEL		
