Source Name	Characteristics[Strain]	Factor Value[Compound]	Comment [ChEMBL ID]	Characteristics[Compound Class]	Characteristics[Control]	Characteristics[Sample Match]	Factor Value[Dose]	Characteristics[DoseUnit]	Characteristics[Vehicle]	array_file
CEL-B-2NF1-72-R-1-2	hESC_DE-Hep	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	CEL-B-DMO-72-R-1-2	32	micromolar	DMSO	carcinogenomics_CEL-B-2NF1-72-R-1-2.CEL
CEL-B-2NF2-24-R-1-2	hESC_DE-Hep	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	CEL-B-DMO-24-R-1-2	16	micromolar	DMSO	carcinogenomics_CEL-B-2NF2-24-R-1-2.CEL
CEL-B-2NF2-72-R-1-2	hESC_DE-Hep	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	CEL-B-DMO-72-R-1-2	16	micromolar	DMSO	carcinogenomics_CEL-B-2NF2-72-R-1-2.CEL
CEL-B-BaP1-24-R-1-2	hESC_DE-Hep	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	CEL-B-DMO-24-R-1-2	100	micromolar	DMSO	carcinogenomics_CEL-B-BaP1-24-R-1-2.CEL
CEL-B-BaP1-72-R-1-2	hESC_DE-Hep	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	CEL-B-DMO-72-R-1-2	100	micromolar	DMSO	carcinogenomics_CEL-B-BaP1-72-R-1-2.CEL
CEL-B-BaP2-24-R-1-2	hESC_DE-Hep	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	CEL-B-DMO-24-R-1-2	50	micromolar	DMSO	carcinogenomics_CEL-B-BaP2-24-R-1-2.CEL
CEL-B-BaP2-72-R-1-2	hESC_DE-Hep	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	CEL-B-DMO-72-R-1-2	50	micromolar	DMSO	carcinogenomics_CEL-B-BaP2-72-R-1-2.CEL
CEL-B-DIC1-24-R-1-2	hESC_DE-Hep	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	CEL-B-MED-24-R-1-2	100	micromolar	DMSO	carcinogenomics_CEL-B-DIC1-24-R-1-2.CEL
CEL-B-DIC1-72-R-1-2	hESC_DE-Hep	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	CEL-B-MED-72-R-1-2	100	micromolar	DMSO	carcinogenomics_CEL-B-DIC1-72-R-1-2.CEL
CEL-B-DIC2-24-R-1-2	hESC_DE-Hep	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	CEL-B-MED-24-R-1-2	50	micromolar	DMSO	carcinogenomics_CEL-B-DIC2-24-R-1-2.CEL
CEL-B-DIC2-72-R-1-2	hESC_DE-Hep	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	CEL-B-MED-72-R-1-2	50	micromolar	DMSO	carcinogenomics_CEL-B-DIC2-72-R-1-2.CEL
CEL-B-DMO-24-R-1-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-B-DMO-24-R-1-2.CEL
CEL-B-DMO-72-R-1-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-B-DMO-72-R-1-2.CEL
CEL-B-DMT1-24-R-1-2	hESC_DE-Hep	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	CEL-B-MED-24-R-1-2	10000	micromolar	DMSO	carcinogenomics_CEL-B-DMT1-24-R-1-2.CEL
CEL-B-DMT1-72-R-1-2	hESC_DE-Hep	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	CEL-B-MED-72-R-1-2	10000	micromolar	DMSO	carcinogenomics_CEL-B-DMT1-72-R-1-2.CEL
CEL-B-DMT2-24-R-1-2	hESC_DE-Hep	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	CEL-B-MED-24-R-1-2	5000	micromolar	DMSO	carcinogenomics_CEL-B-DMT2-24-R-1-2.CEL
CEL-B-DMT2-72-R-1-2	hESC_DE-Hep	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	CEL-B-MED-72-R-1-2	5000	micromolar	DMSO	carcinogenomics_CEL-B-DMT2-72-R-1-2.CEL
CEL-B-MED-24-R-1-2	hESC_DE-Hep	untreated		CTRL	TRUE				Medium	carcinogenomics_CEL-B-MED-24-R-1-2.CEL
CEL-B-MED-72-R-1-2	hESC_DE-Hep	untreated		CTRL	TRUE				Medium	carcinogenomics_CEL-B-MED-72-R-1-2.CEL
CEL-B-MPH1-24-R-1-2	hESC_DE-Hep	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	CEL-B-MED-24-R-1-2	330	micromolar	DMSO	carcinogenomics_CEL-B-MPH1-24-R-1-2.CEL
CEL-B-MPH1-72-R-1-2	hESC_DE-Hep	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	CEL-B-MED-72-R-1-2	330	micromolar	DMSO	carcinogenomics_CEL-B-MPH1-72-R-1-2.CEL
CEL-B-MPH2-24-R-1-2	hESC_DE-Hep	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	CEL-B-MED-24-R-1-2	165	micromolar	DMSO	carcinogenomics_CEL-B-MPH2-24-R-1-2.CEL
CEL-B-MPH2-72-R-1-2	hESC_DE-Hep	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	CEL-B-MED-72-R-1-2	165	micromolar	DMSO	carcinogenomics_CEL-B-MPH2-72-R-1-2.CEL
CEL-B-NFE1-24-R-1-2	hESC_DE-Hep	nifedipine	CHEMBL193	Non-carcinogen	FALSE	CEL-B-DMO-24-R-1-2	180	micromolar	DMSO	carcinogenomics_CEL-B-NFE1-24-R-1-2.CEL
CEL-B-NFE1-72-R-1-2	hESC_DE-Hep	nifedipine	CHEMBL193	Non-carcinogen	FALSE	CEL-B-DMO-72-R-1-2	180	micromolar	DMSO	carcinogenomics_CEL-B-NFE1-72-R-1-2.CEL
CEL-B-NFE2-24-R-1-2	hESC_DE-Hep	nifedipine	CHEMBL193	Non-carcinogen	FALSE	CEL-B-DMO-24-R-1-2	90	micromolar	DMSO	carcinogenomics_CEL-B-NFE2-24-R-1-2.CEL
CEL-B-NFE2-72-R-1-2	hESC_DE-Hep	nifedipine	CHEMBL193	Non-carcinogen	FALSE	CEL-B-DMO-72-R-1-2	90	micromolar	DMSO	carcinogenomics_CEL-B-NFE2-72-R-1-2.CEL
CEL-B-NNK1-24-R-1-2	hESC_DE-Hep	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	CEL-B-DMO-24-R-1-2	7360	micromolar	DMSO	carcinogenomics_CEL-B-NNK1-24-R-1-2.CEL
CEL-B-NNK1-72-R-1-2	hESC_DE-Hep	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	CEL-B-DMO-72-R-1-2	7360	micromolar	DMSO	carcinogenomics_CEL-B-NNK1-72-R-1-2.CEL
CEL-B-NNK2-24-R-1-2	hESC_DE-Hep	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	CEL-B-DMO-24-R-1-2	3680	micromolar	DMSO	carcinogenomics_CEL-B-NNK2-24-R-1-2.CEL
CEL-B-NNK2-72-R-1-2	hESC_DE-Hep	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	CEL-B-DMO-72-R-1-2	3680	micromolar	DMSO	carcinogenomics_CEL-B-NNK2-72-R-1-2.CEL
CEL-B-PPX1-24-R-1-2	hESC_DE-Hep	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	CEL-B-DMO-24-R-1-2	11	micromolar	DMSO	carcinogenomics_CEL-B-PPX1-24-R-1-2.CEL
CEL-B-PPX1-72-R-1-2	hESC_DE-Hep	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	CEL-B-DMO-72-R-1-2	11	micromolar	DMSO	carcinogenomics_CEL-B-PPX1-72-R-1-2.CEL
CEL-B-PPX2-24-R-1-2	hESC_DE-Hep	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	CEL-B-DMO-24-R-1-2	5.5	micromolar	DMSO	carcinogenomics_CEL-B-PPX2-24-R-1-2.CEL
CEL-B-PPX2-72-R-1-2	hESC_DE-Hep	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	CEL-B-DMO-72-R-1-2	5.5	micromolar	DMSO	carcinogenomics_CEL-B-PPX2-72-R-1-2.CEL
CEL-B-SPB1-24-R-1-2	hESC_DE-Hep	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	CEL-B-MED-24-R-1-2	1780	micromolar	DMSO	carcinogenomics_CEL-B-SPB1-24-R-1-2.CEL
CEL-B-SPB1-72-R-1-2	hESC_DE-Hep	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	CEL-B-MED-72-R-1-2	1780	micromolar	DMSO	carcinogenomics_CEL-B-SPB1-72-R-1-2.CEL
CEL-B-SPB2-24-R-1-2	hESC_DE-Hep	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	CEL-B-MED-24-R-1-2	890	micromolar	DMSO	carcinogenomics_CEL-B-SPB2-24-R-1-2.CEL
CEL-B-SPB2-72-R-1-2	hESC_DE-Hep	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	CEL-B-MED-72-R-1-2	890	micromolar	DMSO	carcinogenomics_CEL-B-SPB2-72-R-1-2.CEL
CEL-C-2NF1-24-R-1-2	hESC_DE-Hep	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	CEL-C-DMO-24-R-1-2	32	micromolar	DMSO	carcinogenomics_CEL-C-2NF1-24-R-1-2.CEL
CEL-C-2NF1-72-R-1-2	hESC_DE-Hep	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	CEL-C-DMO-72-R-1-2	32	micromolar	DMSO	carcinogenomics_CEL-C-2NF1-72-R-1-2.CEL
CEL-C-2NF2-24-R-1-2	hESC_DE-Hep	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	CEL-C-DMO-24-R-1-2	16	micromolar	DMSO	carcinogenomics_CEL-C-2NF2-24-R-1-2.CEL
CEL-C-2NF2-72-R-1-2	hESC_DE-Hep	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	CEL-C-DMO-72-R-1-2	16	micromolar	DMSO	carcinogenomics_CEL-C-2NF2-72-R-1-2.CEL
CEL-C-BaP1-24-R-1-2	hESC_DE-Hep	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	CEL-C-DMO-24-R-1-2	100	micromolar	DMSO	carcinogenomics_CEL-C-BaP1-24-R-1-2.CEL
CEL-C-BaP1-72-R-1-2	hESC_DE-Hep	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	CEL-C-DMO-72-R-1-2	100	micromolar	DMSO	carcinogenomics_CEL-C-BaP1-72-R-1-2.CEL
CEL-C-BaP2-24-R-1-2	hESC_DE-Hep	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	CEL-C-DMO-24-R-1-2	50	micromolar	DMSO	carcinogenomics_CEL-C-BaP2-24-R-1-2.CEL
CEL-C-BaP2-72-R-1-2	hESC_DE-Hep	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	CEL-C-DMO-72-R-1-2	50	micromolar	DMSO	carcinogenomics_CEL-C-BaP2-72-R-1-2.CEL
CEL-C-DIC1-24-R-1-2	hESC_DE-Hep	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	CEL-C-MED-24-R-1-2	100	micromolar	DMSO	carcinogenomics_CEL-C-DIC1-24-R-1-2.CEL
CEL-C-DIC1-72-R-1-2	hESC_DE-Hep	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	CEL-C-MED-72-R-1-2	100	micromolar	DMSO	carcinogenomics_CEL-C-DIC1-72-R-1-2.CEL
CEL-C-DIC2-24-R-1-2	hESC_DE-Hep	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	CEL-C-MED-24-R-1-2	50	micromolar	DMSO	carcinogenomics_CEL-C-DIC2-24-R-1-2.CEL
CEL-C-DIC2-72-R-1-2	hESC_DE-Hep	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	CEL-C-MED-72-R-1-2	50	micromolar	DMSO	carcinogenomics_CEL-C-DIC2-72-R-1-2.CEL
CEL-C-DMO-24-R-1-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-C-DMO-24-R-1-2.CEL
CEL-C-DMO-72-R-1-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-C-DMO-72-R-1-2.CEL
CEL-C-DMT1-24-R-1-2	hESC_DE-Hep	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	CEL-C-MED-24-R-1-2	10000	micromolar	DMSO	carcinogenomics_CEL-C-DMT1-24-R-1-2.CEL
CEL-C-DMT1-72-R-1-2	hESC_DE-Hep	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	CEL-C-MED-72-R-1-2	10000	micromolar	DMSO	carcinogenomics_CEL-C-DMT1-72-R-1-2.CEL
CEL-C-DMT2-24-R-1-2	hESC_DE-Hep	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	CEL-C-MED-24-R-1-2	5000	micromolar	DMSO	carcinogenomics_CEL-C-DMT2-24-R-1-2.CEL
CEL-C-DMT2-72-R-1-2	hESC_DE-Hep	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	CEL-C-MED-72-R-1-2	5000	micromolar	DMSO	carcinogenomics_CEL-C-DMT2-72-R-1-2.CEL
CEL-C-MED-24-R-1-2	hESC_DE-Hep	untreated		CTRL	TRUE				Medium	carcinogenomics_CEL-C-MED-24-R-1-2.CEL
CEL-C-MED-72-R-1-2	hESC_DE-Hep	untreated		CTRL	TRUE				Medium	carcinogenomics_CEL-C-MED-72-R-1-2.CEL
CEL-C-MPH1-24-R-1-2	hESC_DE-Hep	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	CEL-C-MED-24-R-1-2	330	micromolar	DMSO	carcinogenomics_CEL-C-MPH1-24-R-1-2.CEL
CEL-C-MPH1-72-R-1-2	hESC_DE-Hep	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	CEL-C-MED-72-R-1-2	330	micromolar	DMSO	carcinogenomics_CEL-C-MPH1-72-R-1-2.CEL
CEL-C-MPH2-24-R-1-2	hESC_DE-Hep	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	CEL-C-MED-24-R-1-2	165	micromolar	DMSO	carcinogenomics_CEL-C-MPH2-24-R-1-2.CEL
CEL-C-MPH2-72-R-1-2	hESC_DE-Hep	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	CEL-C-MED-72-R-1-2	165	micromolar	DMSO	carcinogenomics_CEL-C-MPH2-72-R-1-2.CEL
CEL-C-NFE1-24-R-1-2	hESC_DE-Hep	nifedipine	CHEMBL193	Non-carcinogen	FALSE	CEL-C-DMO-24-R-1-2	180	micromolar	DMSO	carcinogenomics_CEL-C-NFE1-24-R-1-2.CEL
CEL-C-NFE1-72-R-1-2	hESC_DE-Hep	nifedipine	CHEMBL193	Non-carcinogen	FALSE	CEL-C-DMO-72-R-1-2	180	micromolar	DMSO	carcinogenomics_CEL-C-NFE1-72-R-1-2.CEL
CEL-C-NFE2-24-R-1-2	hESC_DE-Hep	nifedipine	CHEMBL193	Non-carcinogen	FALSE	CEL-C-DMO-24-R-1-2	90	micromolar	DMSO	carcinogenomics_CEL-C-NFE2-24-R-1-2.CEL
CEL-C-NFE2-72-R-1-2	hESC_DE-Hep	nifedipine	CHEMBL193	Non-carcinogen	FALSE	CEL-C-DMO-72-R-1-2	90	micromolar	DMSO	carcinogenomics_CEL-C-NFE2-72-R-1-2.CEL
CEL-C-NNK1-24-R-1-2	hESC_DE-Hep	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	CEL-C-DMO-24-R-1-2	7360	micromolar	DMSO	carcinogenomics_CEL-C-NNK1-24-R-1-2.CEL
CEL-C-NNK1-72-R-1-2	hESC_DE-Hep	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	CEL-C-DMO-72-R-1-2	7360	micromolar	DMSO	carcinogenomics_CEL-C-NNK1-72-R-1-2.CEL
CEL-C-NNK2-24-R-1-2	hESC_DE-Hep	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	CEL-C-DMO-24-R-1-2	3680	micromolar	DMSO	carcinogenomics_CEL-C-NNK2-24-R-1-2.CEL
CEL-C-NNK2-72-R-1-2	hESC_DE-Hep	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	CEL-C-DMO-72-R-1-2	3680	micromolar	DMSO	carcinogenomics_CEL-C-NNK2-72-R-1-2.CEL
CEL-C-PPX1-24-R-1-2	hESC_DE-Hep	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	CEL-C-DMO-24-R-1-2	11	micromolar	DMSO	carcinogenomics_CEL-C-PPX1-24-R-1-2.CEL
CEL-C-PPX1-72-R-1-2	hESC_DE-Hep	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	CEL-C-DMO-72-R-1-2	11	micromolar	DMSO	carcinogenomics_CEL-C-PPX1-72-R-1-2.CEL
CEL-C-PPX2-24-R-1-2	hESC_DE-Hep	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	CEL-C-DMO-24-R-1-2	5.5	micromolar	DMSO	carcinogenomics_CEL-C-PPX2-24-R-1-2.CEL
CEL-C-PPX2-72-R-1-2	hESC_DE-Hep	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	CEL-C-DMO-72-R-1-2	5.5	micromolar	DMSO	carcinogenomics_CEL-C-PPX2-72-R-1-2.CEL
CEL-C-SPB1-24-R-1-2	hESC_DE-Hep	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	CEL-C-MED-24-R-1-2	1780	micromolar	DMSO	carcinogenomics_CEL-C-SPB1-24-R-1-2.CEL
CEL-C-SPB1-72-R-1-2	hESC_DE-Hep	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	CEL-C-MED-72-R-1-2	1780	micromolar	DMSO	carcinogenomics_CEL-C-SPB1-72-R-1-2.CEL
CEL-C-SPB2-24-R-1-2	hESC_DE-Hep	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	CEL-C-MED-24-R-1-2	890	micromolar	DMSO	carcinogenomics_CEL-C-SPB2-24-R-1-2.CEL
CEL-C-SPB2-72-R-1-2	hESC_DE-Hep	phenobarbital sodium	CHEMBL149972	Non-genotoxic	FALSE	CEL-C-MED-72-R-1-2	890	micromolar	DMSO	carcinogenomics_CEL-C-SPB2-72-R-1-2.CEL
CEL-D-2NF1-24-R-1-2	hESC_DE-Hep	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	CEL-D-DMO-24-R-1-2	32	micromolar	DMSO	carcinogenomics_CEL-D-2NF1-24-R-1-2.CEL
CEL-D-2NF1-72-R-1-2	hESC_DE-Hep	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	CEL-D-DMO-72-R	32	micromolar	DMSO	carcinogenomics_CEL-D-2NF1-72-R-1-2.CEL
CEL-D-2NF2-24-R-1-2	hESC_DE-Hep	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	CEL-D-DMO-24-R-1-2	16	micromolar	DMSO	carcinogenomics_CEL-D-2NF2-24-R-1-2.CEL
CEL-D-2NF2-72-R-1-2	hESC_DE-Hep	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	CEL-D-DMO-72-R	16	micromolar	DMSO	carcinogenomics_CEL-D-2NF2-72-R-1-2.CEL
CEL-D-BaP1-24-R-1-2	hESC_DE-Hep	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	CEL-D-DMO-24-R-1-2	100	micromolar	DMSO	carcinogenomics_CEL-D-BaP1-24-R-1-2.CEL
CEL-D-BaP1-72-R-1-2	hESC_DE-Hep	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	CEL-D-DMO-72-R	100	micromolar	DMSO	carcinogenomics_CEL-D-BaP1-72-R-1-2.CEL
CEL-D-BaP2-24-R-1-2	hESC_DE-Hep	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	CEL-D-DMO-24-R-1-2	50	micromolar	DMSO	carcinogenomics_CEL-D-BaP2-24-R-1-2.CEL
CEL-D-BaP2-72-R-1-2	hESC_DE-Hep	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	CEL-D-DMO-72-R	50	micromolar	DMSO	carcinogenomics_CEL-D-BaP2-72-R-1-2.CEL
CEL-D-DIC1-24-R-1-2	hESC_DE-Hep	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	CEL-D-MED-24-R-1-2	100	micromolar	DMSO	carcinogenomics_CEL-D-DIC1-24-R-1-2.CEL
CEL-D-DIC1-72-R-1-2	hESC_DE-Hep	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	CEL-D-MED-72-R	100	micromolar	DMSO	carcinogenomics_CEL-D-DIC1-72-R-1-2.CEL
CEL-D-DIC2-24-R-1-1R	hESC_DE-Hep	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	CEL-D-MED-24-R-1-2	50	micromolar	DMSO	carcinogenomics_CEL-D-DIC2-24-R-1-1R.CEL
CEL-D-DIC2-24-R-1-2	hESC_DE-Hep	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	CEL-D-MED-24-R-1-2	50	micromolar	DMSO	carcinogenomics_CEL-D-DIC2-24-R-1-2.CEL
CEL-D-DIC2-72-R-1-2	hESC_DE-Hep	diclofenac sodium	CHEMBL1034	Non-carcinogen	FALSE	CEL-D-MED-72-R	50	micromolar	DMSO	carcinogenomics_CEL-D-DIC2-72-R-1-2.CEL
CEL-D-DMO-24-R-1-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-D-DMO-24-R-1-2.CEL
CEL-D-DMO-72-R-1-1R	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-D-DMO-72-R-1-1R.CEL
CEL-D-DMO-72-R-1-2	hESC_DE-Hep	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_CEL-D-DMO-72-R-1-2.CEL
CEL-D-DMT1-24-R-1-1R	hESC_DE-Hep	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	CEL-D-MED-24-R-1-2	10000	micromolar	DMSO	carcinogenomics_CEL-D-DMT1-24-R-1-1R.CEL
CEL-D-DMT1-24-R-1-2	hESC_DE-Hep	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	CEL-D-MED-24-R-1-2	10000	micromolar	DMSO	carcinogenomics_CEL-D-DMT1-24-R-1-2.CEL
CEL-D-DMT1-72-R-1-2	hESC_DE-Hep	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	CEL-D-MED-72-R	10000	micromolar	DMSO	carcinogenomics_CEL-D-DMT1-72-R-1-2.CEL
CEL-D-DMT2-24-R-1-2	hESC_DE-Hep	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	CEL-D-MED-24-R-1-2	5000	micromolar	DMSO	carcinogenomics_CEL-D-DMT2-24-R-1-2.CEL
CEL-D-DMT2-72-R-1-2	hESC_DE-Hep	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	CEL-D-MED-72-R	5000	micromolar	DMSO	carcinogenomics_CEL-D-DMT2-72-R-1-2.CEL
CEL-D-MED-24-R-1-2	hESC_DE-Hep	untreated		CTRL	TRUE				Medium	carcinogenomics_CEL-D-MED-24-R-1-2.CEL
CEL-D-MED-72-R-1-1R	hESC_DE-Hep	untreated		CTRL	TRUE				Medium	carcinogenomics_CEL-D-MED-72-R-1-1R.CEL
CEL-D-MED-72-R-1-2	hESC_DE-Hep	untreated		CTRL	TRUE				Medium	carcinogenomics_CEL-D-MED-72-R-1-2.CEL
CEL-D-MPH1-24-R-1-2	hESC_DE-Hep	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	CEL-D-MED-24-R-1-2	330	micromolar	DMSO	carcinogenomics_CEL-D-MPH1-24-R-1-2.CEL
CEL-D-MPH1-72-R-1-2	hESC_DE-Hep	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	CEL-D-MED-72-R	330	micromolar	DMSO	carcinogenomics_CEL-D-MPH1-72-R-1-2.CEL
CEL-D-MPH2-24-R-1-2	hESC_DE-Hep	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	CEL-D-MED-24-R-1-2	165	micromolar	DMSO	carcinogenomics_CEL-D-MPH2-24-R-1-2.CEL
CEL-D-MPH2-72-R-1-2	hESC_DE-Hep	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	CEL-D-MED-72-R	165	micromolar	DMSO	carcinogenomics_CEL-D-MPH2-72-R-1-2.CEL
CEL-D-NFE1-24-R-1-2	hESC_DE-Hep	nifedipine	CHEMBL193	Non-carcinogen	FALSE	CEL-D-DMO-24-R-1-2	180	micromolar	DMSO	carcinogenomics_CEL-D-NFE1-24-R-1-2.CEL
CEL-D-NFE1-72-R-1-2	hESC_DE-Hep	nifedipine	CHEMBL193	Non-carcinogen	FALSE	CEL-D-DMO-72-R	180	micromolar	DMSO	carcinogenomics_CEL-D-NFE1-72-R-1-2.CEL
CEL-D-NFE2-24-R-1-2	hESC_DE-Hep	nifedipine	CHEMBL193	Non-carcinogen	FALSE	CEL-D-DMO-24-R-1-2	90	micromolar	DMSO	carcinogenomics_CEL-D-NFE2-24-R-1-2.CEL
CEL-D-NFE2-72-R-1-2	hESC_DE-Hep	nifedipine	CHEMBL193	Non-carcinogen	FALSE	CEL-D-DMO-72-R	90	micromolar	DMSO	carcinogenomics_CEL-D-NFE2-72-R-1-2.CEL
CEL-D-NNK1-24-R-1-2	hESC_DE-Hep	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	CEL-D-DMO-24-R-1-2	7360	micromolar	DMSO	carcinogenomics_CEL-D-NNK1-24-R-1-2.CEL
CEL-D-NNK1-72-R-1-2	hESC_DE-Hep	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	CEL-D-DMO-72-R	7360	micromolar	DMSO	carcinogenomics_CEL-D-NNK1-72-R-1-2.CEL
CEL-D-NNK2-24-R-1-2	hESC_DE-Hep	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	CEL-D-DMO-24-R-1-2	3680	micromolar	DMSO	carcinogenomics_CEL-D-NNK2-24-R-1-2.CEL
CEL-D-NNK2-72-R-1-2	hESC_DE-Hep	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one		Genotoxic	FALSE	CEL-D-DMO-72-R	3680	micromolar	DMSO	carcinogenomics_CEL-D-NNK2-72-R-1-2.CEL
CEL-D-PPX1-24-R-1-2	hESC_DE-Hep	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	CEL-D-DMO-24-R-1-2	11	micromolar	DMSO	carcinogenomics_CEL-D-PPX1-24-R-1-2.CEL
